"","enzyme","nps","Cycle","mean","sd"
"1","extaq","CK",1,8885.561,565.641281252232
"2","extaq","CK",2,8911.8995,558.138417709263
"3","extaq","CK",3,8915.599,527.521785107812
"4","extaq","CK",4,8951.8765,519.867149663258
"5","extaq","CK",5,8975.5955,520.739874435404
"6","extaq","CK",6,8979.47125,504.455922074714
"7","extaq","CK",7,9037.18775,557.330029146331
"8","extaq","CK",8,9219.04175,521.898600427564
"9","extaq","CK",9,9333.07525,537.51060886918
"10","extaq","CK",10,9432.66775,474.081202939872
"11","extaq","CK",11,9700.857,430.470422699013
"12","extaq","CK",12,10023.25775,396.785052518678
"13","extaq","CK",13,10551.27775,366.38941448444
"14","extaq","CK",14,11363.986,367.759896654507
"15","extaq","CK",15,12464.602,290.302623682024
"16","extaq","CK",16,13639.9475,273.963938094658
"17","extaq","CK",17,14936.5085,358.33485343042
"18","extaq","CK",18,16172.1605,471.460557639413
"19","extaq","CK",19,17483.582,638.722132766667
"20","extaq","CK",20,18894.46175,813.525428183358
"21","extaq","CK",21,20469.80375,985.790469448544
"22","extaq","CK",22,22059.101,1097.61214796272
"23","extaq","CK",23,23700.12725,1226.09121106231
"24","extaq","CK",24,25290.78075,1289.25762975168
"25","extaq","CK",25,26833.8725,1371.32082447167
"26","extaq","CK",26,28262.719,1546.39939049566
"27","extaq","CK",27,29660.2015,1669.33091574529
"28","extaq","CK",28,31014.3725,1823.19210563698
"29","extaq","CK",29,32184.759,1816.86422211806
"30","extaq","CK",30,33342.535,1724.45458092058
"31","extaq","CK",31,34469.93375,1728.7119363953
"32","extaq","CK",32,35547.919,1754.07717578731
"33","extaq","CK",33,36656.40725,1773.27541629013
"34","extaq","CK",34,37751.1085,1745.40062266719
"35","extaq","CK",35,38661.47275,1780.58568811901
"36","extaq","CK",36,39546.469,1750.32039752288
"37","extaq","CK",37,40500.991,1761.25535838239
"38","extaq","CK",38,41200.122,1777.5570257281
"39","extaq","CK",39,41962.78125,1747.86726540783
"40","extaq","CK",40,42557.00675,1756.27460453718
"41","extaq","ZnO",1,9414.1685,303.48636290999
"42","extaq","ZnO",2,9412.90975,317.377273929493
"43","extaq","ZnO",3,9358.0925,395.923318956671
"44","extaq","ZnO",4,9313.973,394.898628471493
"45","extaq","ZnO",5,9238.3855,357.875456053732
"46","extaq","ZnO",6,9202.021,336.806262804994
"47","extaq","ZnO",7,9185.0005,297.939229034491
"48","extaq","ZnO",8,9171.1025,359.945567844639
"49","extaq","ZnO",9,9227.7675,380.936483712179
"50","extaq","ZnO",10,9234.89425,364.847846603097
"51","extaq","ZnO",11,9245.62975,305.88933498285
"52","extaq","ZnO",12,9233.96125,286.902918727312
"53","extaq","ZnO",13,9218.40175,343.495784121994
"54","extaq","ZnO",14,9174.46675,354.215652841011
"55","extaq","ZnO",15,9187.104,349.443560324124
"56","extaq","ZnO",16,9191.3125,312.83883583138
"57","extaq","ZnO",17,9182.368,310.520406444837
"58","extaq","ZnO",18,9191.2295,257.856767456276
"59","extaq","ZnO",19,9150.9505,244.782924914436
"60","extaq","ZnO",20,9208.605,357.338879370829
"61","extaq","ZnO",21,9211.416,380.628831666756
"62","extaq","ZnO",22,9182.45525,310.573291000557
"63","extaq","ZnO",23,9189.861,377.038575517147
"64","extaq","ZnO",24,9235.951,398.954816299625
"65","extaq","ZnO",25,9289.24125,354.066123800225
"66","extaq","ZnO",26,9243.86325,336.203753183864
"67","extaq","ZnO",27,9179.1355,358.439588376712
"68","extaq","ZnO",28,9174.29625,504.31403790322
"69","extaq","ZnO",29,9222.40275,506.075833234094
"70","extaq","ZnO",30,9267.56625,420.395845733815
"71","extaq","ZnO",31,9198.264,386.588934060457
"72","extaq","ZnO",32,9182.6135,389.109664426796
"73","extaq","ZnO",33,9211.68225,375.627371589075
"74","extaq","ZnO",34,9194.964,385.382723005758
"75","extaq","ZnO",35,9179.8795,413.969822053493
"76","extaq","ZnO",36,9038.36825,419.963868861258
"77","extaq","ZnO",37,9024.707,415.233558954476
"78","extaq","ZnO",38,9179.116,413.15395513295
"79","extaq","ZnO",39,9215.96675,395.558562037173
"80","extaq","ZnO",40,9267.9795,291.422610303891
"81","extaq","Fe2O3",1,9019.37825,402.842235262868
"82","extaq","Fe2O3",2,9024.8195,384.104146652527
"83","extaq","Fe2O3",3,9012.31725,350.059257164055
"84","extaq","Fe2O3",4,9051.7765,328.854454041602
"85","extaq","Fe2O3",5,9127.01775,340.980192070229
