id	enzyme	nps	rep
NP10	extaq	Fe2O3	rep1
NP13	extaq	Fe3O4	rep1
NP14	extaq	Al2O3	rep1
NP15	extaq	CuO	rep1
NP17	extaq	CK	rep1
NP19	phusion	Fe2O3	rep1
NP20	phusion	ZnO	rep1
NP22	phusion	Fe3O4	rep1
NP24	phusion	CuO	rep1
NP26	phusion	CK	rep1
NP46	extaq	Fe2O3	rep2
NP49	extaq	Fe3O4	rep2
NP50	extaq	Al2O3	rep2
NP51	extaq	CuO	rep2
NP53	extaq	CK	rep2
NP55	phusion	Fe2O3	rep2
NP56	phusion	ZnO	rep2
NP58	phusion	Fe3O4	rep2
NP60	phusion	CuO	rep2
NP62	phusion	CK	rep2
NP82	extaq	Fe2O3	rep3
NP85	extaq	Fe3O4	rep3
NP86	extaq	Al2O3	rep3
NP87	extaq	CuO	rep3
NP89	extaq	CK	rep3
NP91	phusion	Fe2O3	rep3
NP92	phusion	ZnO	rep3
NP94	phusion	Fe3O4	rep3
NP96	phusion	CuO	rep3
NP98	phusion	CK	rep3
